source,product,field,source_value,source_description,uid,uid_description,is_seed,valid_from,valid_until,is_active
OpenFigi,exchange,exchange_code,NG,,XNGM,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,JN,,XNGO,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,UW,,XNGS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,UT,,XNIM,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,UQ,,XNMS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,NL,,XNSA,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,IS,,XNSE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,UN,,XNYS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,NZ,,XNZE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,JO,,XOSE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,NO,,XOSL,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,UU,,XOTC,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,XO,,XOPV,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,PS,,XPAE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,FP,,XPAR,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,UX,,XPSX,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,PM,,XPHS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,PZ,,ISDX,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,PB,,XPOM,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,PO,,XPOS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,PP,,XPTY,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,SX,,XQMH,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,QT,,XQTX,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,EQ,,XQUI,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,RQ,,XRAS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,LG,,XRIS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,RC,,XRMZ,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,JS,,XSAP,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,KA,,XSAT,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,AB,,XSAU,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,JU,,XSBI,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,C2,,XSEC,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,SP,,XSES,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,CC,,XSGO,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,CS,,XSHE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,CG,,XSHG,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,XE,,XSMP,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,FS,,XSPS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,C1,,XSSC,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,BT,,XSSE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,VM,,XSTC,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,ZU,,XSTE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,SS,,XSTO,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,GS,,XSTU,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,EL,,XSVA,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,SD,,XSWA,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,SE,,XSWX,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,IT,,XTAE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,TT,,XTAI,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,ET,,XTAL,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,JG,,XTAM,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,IE,,XTEH,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,AL,,XTIR,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,JT,,XTKS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,TP,,XTRN,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,CT,,XTSE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,CV,,XTSX,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,TU,,XTUN,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,UK,,UKEX,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,S2,,XUBS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,UG,,XUGA,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,MO,,XULA,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,SA,,XVAL,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,PN,,XVPA,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,VX,,XVTX,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,PW,,XWAR,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,AV,,XWBO,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,ZA,,XZAG,mic,True,2023-01-01 00:00:00,,True
